Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio
"Ghost in the Shell (1995)",false,true,true,true,false,false,false,true,false,9/8/20,Lionsgate
"Ghost in the Shell",false,true,false,false,false,false,false,true,false,7/25/17,Paramount Pictures Home Entertainment
"Ghostbusters (2016)",true,false,true,false,false,false,false,true,false,10/11/16,Sony Pictures Home Entertainment
"Ghostbusters I/II Limited Edition Steelbook (with new content)",false,false,true,false,false,false,false,true,false,6/11/19,Sony Pictures Home Entertainment
"Ghostbusters I/II/2017 Collection",false,false,true,false,false,false,false,true,false,6/7/16,Sony Pictures Home Entertainment
"Ghostbusters II",false,false,true,false,false,false,false,true,false,6/7/16,Sony Pictures Home Entertainment
"Ghostbusters",false,false,true,false,false,false,false,true,false,6/7/16,Sony Pictures Home Entertainment
"Girl in the Spider's Web, The",false,false,false,false,false,false,false,false,false,2/5/19,Sony Pictures Home Entertainment
"Girl on the Train, The",false,false,false,false,false,false,false,false,true,1/17/17,Universal Studios Home Entertainment
"Gladiator (Steelbook)",true,false,true,true,false,false,false,false,true,5/5/20,Paramount Pictures Home Entertainment
"Gladiator",true,false,true,true,false,false,false,false,true,5/15/18,Paramount Pictures Home Entertainment
"Glass",false,false,true,false,false,false,false,true,false,4/16/19,Universal Studios Home Entertainment
"Glory: 30th Anniversary Edition",false,false,true,false,false,false,false,true,false,7/30/19,Sony Pictures Home Entertainment
"Godfather Trilogy, The",false,false,true,false,false,false,false,false,false,TBA,Paramount Pictures Home Entertainment
"Gods of Egypt",false,true,false,false,false,false,false,false,true,5/31/16,Lionsgate
"Godzilla (1998)",false,false,true,false,false,false,false,true,false,5/14/19,Sony Pictures Home Entertainment
"Godzilla (2014)",false,true,false,false,false,false,false,true,false,3/23/21,Warner Bros. Home Entertainment
"Godzilla vs. Kong",true,false,true,true,true,false,false,true,false,6/15/21,Warner Bros. Home Entertainment
"Godzilla: King of the Monsters",false,true,false,true,true,false,false,true,false,8/27/19,Warner Bros. Home Entertainment
"Good Dinosaur, The",false,false,false,false,false,false,false,true,false,9/10/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Good, The Bad and The Ugly, The",true,false,true,false,false,false,false,false,false,4/27/21,Kino Lorber Studio Classics
"Goodfellas",false,false,true,false,false,false,false,false,false,12/6/16,Warner Bros. Home Entertainment
"Goonies, The: 35th Anniversary Giftset (Amazon exclusive)",false,false,true,false,false,false,false,false,false,9/1/2020,Warner Bros. Home Entertainment
