Title,Studio,Release Date,Reference,Standout,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X
Battleship,Universal Studios Home Entertainment,1/17/17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Baywatch: Extended Cut,Paramount Pictures Home Entertainment,8/29/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Beauty and the Beast (1991),Walt Disney Studios Home Entertainment (also Fox see above),3/10/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Beauty and the Beast (2017),Walt Disney Studios Home Entertainment (also Fox see above),3/10/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Beetlejuice,Warner Bros. Home Entertainment,9/1/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Beetlejuice: Giftset (Amazon exclusive),Warner Bros. Home Entertainment,9/1/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Beverly Hills Cop,Paramount Pictures Home Entertainment,TBA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Beverly Hills Cop 3-Movie Collection,Paramount Pictures Home Entertainment,12/17/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Big Hero 6,Walt Disney Studios Home Entertainment (also Fox see above),11/5/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bill & Ted's Excellent Adventure,Studio Canal (UK/Germany?France),8/10/20,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Billy Lynn’s Long Halftime Walk,Sony Pictures Home Entertainment,2/14/17,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Birds of Prey,Warner Bros. Home Entertainment,5/12/2020,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Birds of Prey (Steelbook),Warner Bros. Home Entertainment,5/12/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Hawk Down,Sony Pictures Home Entertainment,5/7/19,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black Panther,Walt Disney Studios Home Entertainment (also Fox see above),5/15/18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BlacKkKlansman,Universal Studios Home Entertainment,11/6/18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Blade Runner 2049,Warner Bros. Home Entertainment,1/16/18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Blade Runner: The Final Cut,Warner Bros. Home Entertainment,9/5/17,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bloodshot,Sony Pictures Home Entertainment,5/5/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Blue Planet II,BBC Home Entertainment,3/6/18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bohemian Rhapsody,20th Century Fox Home Entertainment (Walt Disney previously MGM),2/12/19,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Boss Baby,20th Century Fox Home Entertainment (Walt Disney previously MGM),7/25/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Boyz N The Hood,Sony Pictures Home Entertainment,2/4/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bram Stoker’s Dracula,Sony Pictures Home Entertainment,10/3/17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Brave,Walt Disney Studios Home Entertainment (also Fox see above),9/10/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Braveheart,Paramount Pictures Home Entertainment,5/15/18,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Braveheart (Steelbook),Paramount Pictures Home Entertainment,5/5/20,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Brawl in Cell Block 99,Image (RLJ Entertainment/Cinestate),12/26/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Breakthrough,20th Century Fox Home Entertainment (Walt Disney previously MGM),7/16/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Breathless: 60th Anniversary Edition,Studio Canal (UK/Germany?France),11/9/20,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Brightburn,Sony Pictures Home Entertainment,8/20/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bumblebee,Paramount Pictures Home Entertainment,4/2/19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Burning,Capelight Pictures (Germany),10/11/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Call of the Wild (2020),20th Century Fox Home Entertainment (Walt Disney previously MGM),5/12/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Captain America: Civil War,Walt Disney Studios Home Entertainment (also Fox see above),4/23/19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Captain America: The First Avenger,Walt Disney Studios Home Entertainment (also Fox see above),2/26/19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Captain America: The Winter Soldier,Walt Disney Studios Home Entertainment (also Fox see above),4/23/19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Captain Marvel,Walt Disney Studios Home Entertainment (also Fox see above),6/11/19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
