Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio,Review,Buy US,Buy UK
"Alien: Covenant",false,true,false,false,false,false,false,true,false,8/15/17,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),=HYPERLINK("https://thedigitalbits.com/item/alien-covenant-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/Alien-Covenant-Blu-ray-Billy-Crudup/dp/B0722H3X49?tag=camerontec014-20";"www.amazon.com"),=HYPERLINK("http://amzn.to/2jx5Qfi";"amzn.to")
"Aliens (1986)",false,false,true,false,false,false,false,false,false,TBA,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),,,
"Aliens (1986)",false,false,true,false,false,false,false,false,false,TBA,Walt Disney Studios Home Entertainment (also Fox see above),,,
"Alita: Battle Angel (with Blu-ray 3D)",false,false,false,true,true,false,false,true,false,7/23/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07MS5B7NS/camerontec014-20";"www.amazon.com"),
"All Ladies Do It (1993)",false,false,true,false,false,false,false,false,false,TBA,Cult Epics,,,
"All Quiet on the Western Front (2022)",false,false,true,true,false,false,false,true,false,3/28/23,MPI Media Group/Dark Sky Films,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BWSNHMD9/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/exec/obidos/ASIN/B0BVR7F4K1/thedigitalbits-20";"www.amazon.co.uk")
"All Quiet on the Western Front (2022)",false,false,true,true,false,false,false,true,false,4/24/23,Altitude Film Distribution UK,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BWSNHMD9/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/exec/obidos/ASIN/B0BVR7F4K1/thedigitalbits-20";"www.amazon.co.uk")
"Allied",false,true,true,false,false,false,false,false,false,2/28/17,Paramount Pictures Home Entertainment (also CBS Studios),,=HYPERLINK("https://www.amazon.com/Allied-UHD-Digital-Combo-Blu-ray/dp/B01LTHZ5JI?tag=camerontec014-20";"www.amazon.com"),=HYPERLINK("http://amzn.to/2x6vdrq";"amzn.to")
"Alligator: Collector's Edition",true,false,true,true,false,false,false,false,false,2/22/22,Shout!/Scream Factory,=HYPERLINK("https://thedigitalbits.com/item/alligator-scream-2022-uhd";"Review"),=HYPERLINK("http://www.amazon.com/exec/obidos/ASIN/B07GQ2Y5TF/camerontec014-20";"www.amazon.com"),
"Almost Famous (Steelbook) (includes BOTH cuts of the film)",true,false,true,true,false,false,false,false,false,7/13/21,Paramount Pictures Home Entertainment (also CBS Studios),=HYPERLINK("https://thedigitalbits.com/item/almost-famous-steelbook-4k-uhd-2021";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0948RPSTS/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/dp/B0948RPSTS/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
